num,sup.help,sup.under,sup.safe,sup.conc,adv.comp,adv.acces,adv.comm,adv.qual,tut.prof,tut.sched,tut.stud,tut.qual,val.devel,val.deci,val.meet,val.info,sat.glad,sat.expe,sat.over,loy.proud,loy.recom,loy.asha,loy.back,gender,scholarships,job
1,7,1,7,4,5,5,6,6,5,4,6,7,5,5,6,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
2,7,1,6,4,6,6,5,6,6,6,6,6,6,4,7,6,7,7,7,7,7,1,7,female,yes_scholship,yes_job
3,6,1,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,7,7,1,7,female,yes_scholship,no_job
4,1,7,3,1,1,2,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,7,1,male,no_scholship,no_job
5,6,5,5,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
6,6,1,6,5,7,7,7,6,6,7,6,7,6,6,6,6,7,6,7,7,7,1,7,female,no_scholship,no_job
7,5,2,6,7,7,6,6,6,6,7,3,7,4,4,3,5,7,7,6,7,7,1,5,female,no_scholship,no_job
8,6,1,6,7,7,7,7,7,7,5,6,7,7,7,6,7,7,7,7,5,6,1,7,male,no_scholship,yes_job
9,7,1,5,6,6,6,6,6,5,5,6,5,5,5,5,6,7,6,6,6,7,1,6,female,yes_scholship,yes_job
10,2,4,4,3,7,6,7,7,6,6,5,6,4,4,2,4,5,4,5,4,7,1,7,male,yes_scholship,no_job
11,7,1,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,6,7,7,7,1,7,female,yes_scholship,no_job
12,7,1,7,5,7,7,7,7,4,4,7,4,6,6,6,7,7,6,7,7,7,1,7,female,no_scholship,yes_job
13,6,4,3,7,7,6,6,7,6,6,6,7,2,2,4,7,7,7,7,7,7,1,7,female,yes_scholship,yes_job
14,6,4,5,4,3,3,4,3,5,6,6,5,4,2,7,7,7,5,6,7,7,1,7,male,no_scholship,yes_job
15,7,1,6,7,4,4,6,5,6,6,6,6,7,7,6,6,7,5,5,7,7,7,7,female,no_scholship,no_job
16,7,1,7,7,6,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,male,yes_scholship,no_job
18,5,3,5,7,6,6,5,5,4,6,6,5,7,7,7,7,7,7,7,7,7,1,5,female,yes_scholship,yes_job
19,6,1,7,4,7,7,7,7,4,4,4,5,6,4,7,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
20,6,2,6,6,6,7,6,7,4,4,7,7,6,7,7,7,7,7,7,2,5,2,7,female,no_scholship,no_job
21,6,4,5,5,6,6,6,6,4,4,3,4,6,6,6,6,7,6,7,7,7,1,7,female,no_scholship,no_job
22,7,4,6,6,6,6,6,6,5,6,6,5,4,4,5,6,7,6,6,6,6,1,6,female,yes_scholship,yes_job
23,4,2,4,3,7,7,7,7,4,2,3,3,5,5,5,5,6,6,6,4,4,1,4,female,no_scholship,no_job
24,7,1,6,6,6,6,7,6,5,4,6,5,6,6,6,7,7,6,6,7,7,1,5,female,yes_scholship,yes_job
25,4,1,5,3,5,6,6,6,6,6,5,6,7,6,6,6,7,7,7,7,7,1,7,female,yes_scholship,yes_job
26,1,2,6,6,7,7,6,7,7,7,7,7,6,6,5,6,7,5,6,7,6,1,6,female,no_scholship,yes_job
27,7,1,7,7,7,7,7,7,6,5,7,6,7,7,7,7,7,7,7,7,7,1,7,female,yes_scholship,no_job
28,4,3,5,6,6,7,6,6,6,5,4,5,5,5,5,6,7,6,7,7,7,1,6,female,no_scholship,no_job
29,7,1,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,1,7,female,no_scholship,no_job
30,7,1,4,7,7,7,7,7,6,5,4,6,6,7,4,7,6,6,6,6,7,1,7,female,no_scholship,no_job
31,7,1,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
32,7,1,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
33,6,1,7,3,7,7,7,7,4,4,4,4,7,6,7,6,7,7,7,5,7,2,6,female,yes_scholship,yes_job
34,7,1,7,5,7,7,7,6,6,6,6,6,6,5,7,7,7,7,7,7,7,1,6,female,no_scholship,no_job
35,3,4,4,4,5,4,4,5,5,4,3,6,5,5,5,5,6,6,5,5,6,4,5,female,yes_scholship,yes_job
36,7,1,6,5,7,7,7,7,6,4,4,4,7,7,6,7,7,6,7,7,7,1,7,male,no_scholship,yes_job
37,6,1,6,4,7,7,7,7,6,7,7,6,5,5,6,7,7,6,7,7,7,1,6,female,yes_scholship,no_job
38,4,1,5,4,5,5,5,5,4,4,4,4,4,4,4,4,7,6,6,5,5,1,6,male,yes_scholship,no_job
39,7,4,4,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
40,7,1,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,1,7,female,no_scholship,yes_job
